datetime,tempmax,tempmin,temp,humidity,precip,windspeed,solarradiation
2011-03-10,15.4,10.0,12.0,86.1,5.0,14.8,87.5
2011-03-11,30.4,9.0,13.7,78.6,0.0,25.2,230.3
2011-03-12,19.3,9.0,13.6,78.6,0.0,25.3,265.1
2011-03-13,20.2,8.3,13.7,78.0,0.5,28.8,245.3
2011-03-14,19.4,9.1,13.3,81.9,0.0,22.0,206.7
2011-03-15,23.6,9.0,14.1,80.1,1.5,25.3,216.1
2011-03-16,19.2,11.0,13.9,82.0,0.6,20.2,204.6
2011-03-17,19.0,8.1,13.0,83.2,4.5,13.4,258.9
2011-03-18,18.1,11.0,14.3,82.5,10.8,17.8,208.5
2011-03-19,18.4,10.0,14.0,83.7,6.5,16.4,166.5
2011-03-20,17.2,11.0,13.6,86.7,11.7,22.3,182.8
2011-03-21,17.0,11.0,13.3,89.2,9.9,21.0,120.6
2011-03-22,18.0,8.2,13.0,86.8,10.5,22.1,137.7
2011-03-23,17.9,12.0,13.8,88.1,11.4,14.4,108.7
2011-03-24,20.2,10.0,14.7,76.4,6.3,21.8,251.1
2011-03-25,19.2,12.0,14.3,85.0,3.2,16.1,156.5
2011-03-26,21.7,12.0,14.8,71.2,0.2,25.5,187.0
2011-03-27,21.3,10.0,15.4,68.9,0.0,22.3,290.4
2011-03-28,19.2,9.2,14.5,72.6,0.0,21.9,179.4
2011-03-29,24.6,8.0,14.5,71.9,0.0,25.8,213.7
2011-03-30,19.4,5.0,13.0,81.9,9.7,17.8,276.2
2011-03-31,20.3,9.0,14.1,76.1,1.4,18.0,247.8
2011-04-01,21.2,7.0,14.5,79.9,8.1,18.0,224.6
2011-04-02,21.2,9.0,14.6,81.8,4.1,20.1,234.4
2011-04-03,20.3,10.0,14.3,84.5,0.0,25.5,210.8
2011-04-04,20.3,11.0,14.6,85.2,7.7,18.2,232.2
2011-04-05,20.2,11.9,15.0,80.4,11.0,20.6,176.6
2011-04-06,19.4,12.0,14.8,84.6,3.9,18.2,164.8
2011-04-07,20.0,10.9,13.6,88.0,12.7,18.3,190.9
2011-04-08,19.4,10.0,14.2,86.2,11.5,21.9,175.0
2011-04-09,18.3,11.0,14.2,86.2,9.1,21.7,166.2
2011-04-10,15.3,11.0,13.1,88.3,3.5,10.8,167.8
2011-04-11,19.3,11.0,14.6,81.5,15.4,22.0,134.5
2011-04-12,16.3,11.0,13.1,91.8,30.4,11.1,165.1
2011-04-13,19.3,11.0,13.9,84.6,1.8,21.9,192.7
2011-04-14,19.1,10.0,13.7,87.4,6.5,25.2,145.1
2011-04-15,17.1,11.0,13.8,85.6,13.5,22.0,165.3
2011-04-16,17.3,10.0,13.5,86.3,21.3,21.8,177.4
2011-04-17,16.0,10.7,13.1,85.8,11.0,18.4,151.6
2011-04-18,17.5,11.0,13.6,87.4,8.7,17.9,160.9
2011-04-19,18.4,11.1,14.5,84.8,14.0,17.8,126.1
2011-04-20,29.0,11.4,14.8,83.9,11.8,18.0,196.3
2011-04-21,20.3,12.0,14.4,82.8,15.9,25.1,87.0
2011-04-22,18.4,11.1,13.8,88.1,25.6,31.4,96.0
2011-04-23,18.1,12.0,14.1,84.0,2.9,21.6,132.8
2011-04-24,19.7,11.9,14.7,81.3,18.3,18.4,267.2
2011-04-25,17.3,12.0,14.0,86.8,13.2,18.4,215.6
2011-04-26,20.2,9.9,15.1,73.5,3.3,22.0,200.2
2011-04-27,21.3,11.0,15.2,76.1,2.7,27.4,284.1
2011-04-28,18.9,12.0,14.0,85.2,7.9,25.3,198.7
2011-04-29,20.3,12.0,15.1,80.5,1.7,27.4,223.9
2011-04-30,20.2,9.0,14.8,82.8,14.7,22.0,141.1
2011-05-01,20.3,2.0,14.8,82.8,38.8,22.3,153.1
2011-05-02,20.2,12.0,15.8,76.5,16.7,27.3,157.8
2011-05-03,16.0,13.0,14.0,87.2,6.7,14.8,247.9
2011-05-04,19.1,12.0,14.7,82.7,4.8,18.4,179.7
2011-05-05,23.0,12.0,15.5,79.4,2.4,14.8,158.6
2011-05-06,20.0,10.0,15.3,78.6,5.6,14.8,208.6
2011-05-07,20.9,12.0,15.7,76.4,4.5,18.1,88.2
2011-05-08,19.1,11.0,15.1,79.9,3.7,18.4,172.3
2011-05-09,20.3,11.0,14.9,80.0,1.7,14.8,186.4
2011-05-10,20.1,11.0,15.0,81.9,10.8,32.6,185.4
2011-05-11,20.5,12.0,15.0,85.1,10.0,14.8,172.5
2011-05-12,19.0,13.0,14.7,88.0,8.0,14.8,186.6
2011-05-13,18.0,12.9,15.1,88.9,23.7,22.3,133.3
2011-05-14,17.1,11.8,13.9,84.9,38.0,22.3,123.8
2011-05-15,19.9,11.9,15.1,82.3,4.0,22.3,204.1
2011-05-16,16.0,12.4,14.2,85.4,2.9,18.4,104.0
2011-05-17,20.0,12.0,15.1,79.7,0.0,29.5,181.1
2011-05-18,19.0,11.0,14.3,85.6,0.0,22.3,104.3
2011-05-19,17.4,11.1,13.3,87.7,6.5,14.8,106.2
2011-05-20,19.0,11.0,14.1,82.0,1.4,18.4,198.7
